date,open,high,low,close,volume,amount,postVol,postAmt
2025-10-14,4.725,4.74,4.62,4.645,1161909516,5445976980,,
2025-10-15,4.648,4.715,4.627,4.706,997401276,4649845988,,
2025-10-16,4.689,4.747,4.689,4.721,812463337,3835512324,,
2025-10-17,4.715,4.724,4.612,4.624,840058205,3909864092,,
2025-10-20,4.651,4.678,4.624,4.64,764417805,3554256321,,
2025-10-21,4.656,4.723,4.652,4.71,959868519,4511371971,,
2025-10-22,4.69,4.708,4.668,4.695,554484198,2601506365,,
2025-10-23,4.687,4.719,4.642,4.713,699342841,3267824361,,
2025-10-24,4.728,4.772,4.727,4.77,865303618,4110591097,,
2025-10-27,4.808,4.831,4.796,4.826,758524912,3652922851,,
2025-10-28,4.815,4.85,4.792,4.802,725949138,3497088820,,
2025-10-29,4.81,4.864,4.81,4.862,679278356,3284668925,,
2025-10-30,4.858,4.874,4.816,4.823,816461854,3955485339,,
2025-10-31,4.819,4.826,4.755,4.756,1432568620,6851751220,,
2025-11-03,4.752,4.767,4.705,4.763,775988137,3674194550,,
2025-11-04,4.76,4.773,4.706,4.729,1201524329,5708778783,,
2025-11-05,4.692,4.751,4.668,4.735,763353285,3599158874,,
2025-11-06,4.742,4.813,4.742,4.805,732664905,3506780405,,
2025-11-07,4.79,4.812,4.774,4.795,539255553,2584816479,,
2025-11-10,4.797,4.811,4.763,4.807,448348844,2146884969,,
2025-11-11,4.814,4.824,4.757,4.763,565193563,2702663134,,
2025-11-12,4.754,4.783,4.731,4.765,523690675,2491775456,,
2025-11-13,4.757,4.815,4.752,4.812,645956059,3096198221,,
2025-11-14,4.785,4.796,4.739,4.741,593631715,2832605947,,
2025-11-17,4.73,4.74,4.691,4.71,752466929,3545084093,,
2025-11-18,4.7,4.717,4.664,4.683,856823933,4018390178,,
2025-11-19,4.678,4.717,4.678,4.697,856961494,4026545623,,
2025-11-20,4.724,4.729,4.673,4.676,561939501,2644705315,,
2025-11-21,4.645,4.654,4.562,4.564,1496400410,6884359920,,
2025-11-24,4.579,4.585,4.533,4.557,1155747722,5269730484,,
2025-11-25,4.58,4.623,4.579,4.597,895940577,4120829562,,
2025-11-26,4.6,4.646,4.594,4.626,914079306,4228349386,,
2025-11-27,4.629,4.674,4.618,4.622,479369411,2226374836,,
2025-11-28,4.621,4.642,4.603,4.635,519234054,2403092677,,
2025-12-01,4.646,4.688,4.639,4.687,578301370,2698559001,,
2025-12-02,4.686,4.686,4.651,4.666,383444900,1790231961,,
2025-12-03,4.665,4.684,4.635,4.645,395034780,1840202209,,
2025-12-04,4.648,4.671,4.628,4.657,402618836,1871831892,,
2025-12-05,4.656,4.71,4.643,4.698,687203054,3217071412,,
2025-12-08,4.711,4.754,4.709,4.732,826343751,3908784386,,
2025-12-09,4.727,4.739,4.694,4.708,700105499,3302885875,,
2025-12-10,4.7,4.709,4.658,4.702,620776436,2903153594,,
2025-12-11,4.708,4.722,4.662,4.668,619944253,2910601742,,
2025-12-12,4.678,4.702,4.648,4.694,867153920,4057237306,,
2025-12-15,4.674,4.712,4.55,4.667,691785514,3241015143,,
