序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd
4969,002065,东华软件,6.88,-1.99,-0.14,199766.0,138111257.0,1.71,6.98,6.86,6.98,7.02,1.33,0.69,88.98,1.8,22053718740.0,20006500945.0,-0.15,-0.15,-16.71,-24.4
4970,300655,晶瑞电材,11.81,-1.99,-0.24,250297.0,299506131.59,3.32,12.19,11.79,12.09,12.05,1.04,2.23,497.08,5.2,13305458623.0,13244821299.0,-0.42,-0.08,-20.47,-23.06
4971,001367,海森药业,17.22,-1.99,-0.35,7441.0,12954859.6,2.9,17.71,17.2,17.69,17.57,1.01,0.61,22.69,1.74,2623487664.0,2094589863.0,0.06,-0.23,-32.04,-21.12
4972,688278,特宝生物,58.18,-1.99,-1.18,10822.0,63321949.0,2.19,59.35,58.05,58.83,59.36,0.77,0.27,36.09,7.03,23748463946.0,23748463946.0,-0.19,-0.1,0.5,-29.96
4973,688582,芯动联科,38.22,-2.0,-0.78,24354.0,94116991.0,3.59,39.45,38.05,38.83,39.0,0.91,0.61,1503.38,6.34,15354466720.0,15354466720.0,0.03,0.21,-28.63,-42.06
4974,001331,胜通能源,45.19,-2.0,-0.92,20463.0,93609462.3,3.34,46.63,45.09,45.92,46.11,0.65,0.72,-554.06,12.72,18493917120.0,12916845239.0,-0.24,-0.02,32.44,41.66
4975,300989,蕾奥规划,9.82,-2.0,-0.2,18115.0,18020379.0,3.19,10.09,9.77,9.97,10.02,2.17,1.11,-17.51,2.15,2071622624.0,1600154437.0,-0.1,0.0,-33.15,-44.33
4976,300990,同飞股份,94.01,-2.01,-1.93,31703.0,302988515.76,5.52,98.8,93.5,95.14,95.94,1.21,4.08,67.32,7.63,16096071626.0,7310586119.0,-0.34,0.15,12.82,4.86
4977,301372,科净源,26.87,-2.01,-0.55,4838.0,13253753.0,4.08,27.99,26.87,27.55,27.42,0.77,1.18,80.28,2.49,1842514324.0,1106249857.0,-0.3,0.0,-17.45,5.95
4978,002025,航天电器,68.15,-2.01,-1.4,108669.0,763475592.05,6.33,72.5,68.1,69.55,69.55,1.67,2.39,148.1,4.69,30941447462.0,30931329027.0,-0.32,-0.66,-11.12,36.3
4979,688615,合合信息,93.87,-2.01,-1.93,16849.0,158939359.0,2.52,95.81,93.4,95.32,95.8,1.24,1.24,29.63,6.43,18398520000.0,12704210164.0,0.13,0.25,-26.37,-41.83
4980,301108,洁雅股份,28.26,-2.01,-0.58,7973.0,22593281.21,4.2,29.16,27.95,28.99,28.84,0.99,1.23,77.44,1.69,3180839682.0,1832192308.0,0.07,0.18,2.28,-14.65
4981,688013,天臣医疗,21.84,-2.02,-0.45,4654.0,10246452.0,3.41,22.29,21.53,21.53,22.29,1.0,0.57,45.71,3.46,1772438304.0,1772438304.0,0.32,0.37,-41.0,-53.82
4982,300149,睿智医药,9.68,-2.02,-0.2,227254.0,221351498.64,4.96,9.98,9.49,9.49,9.88,1.01,4.79,-66.37,3.76,4820291443.0,4593774380.0,0.0,-0.31,-8.42,1.26
4983,603005,晶方科技,31.07,-2.02,-0.64,217719.0,684711864.0,4.07,32.1,30.81,31.98,31.71,1.2,3.34,77.41,4.35,20262974905.0,20262974905.0,-0.38,0.23,-0.67,12.82
4984,603538,美诺华,28.64,-2.02,-0.59,360840.0,1045833087.0,5.1,29.69,28.2,28.52,29.23,1.71,10.71,78.1,3.54,9735543304.0,9649387397.0,-0.21,-0.93,-30.18,110.12
4985,001309,德明利,447.97,-2.02,-9.23,136796.0,6198422671.19,7.11,468.68,436.18,444.0,457.2,2.86,8.29,7.59,15.34,101620049414.0,73945516440.0,-0.46,-0.78,-8.56,93.52
4986,300047,天源迪科,9.2,-2.02,-0.19,102568.0,94808578.0,2.02,9.36,9.17,9.32,9.39,1.61,1.79,94.61,1.78,5867250982.0,5279984705.0,0.11,0.11,-24.9,-26.63
4987,603283,赛腾股份,43.5,-2.03,-0.9,87101.0,385888315.0,4.93,45.4,43.21,45.29,44.4,1.07,2.47,42.1,4.49,15334891571.0,15334891571.0,-0.34,0.12,15.08,32.18
4988,688765,禾元生物-U,47.32,-2.03,-0.98,8405.0,40017309.0,2.86,48.47,47.09,47.71,48.3,1.03,1.82,-117.33,5.9,16916900000.0,2189971445.0,-0.27,0.19,-20.98,-31.53
4989,300276,三丰智能,6.25,-2.04,-0.13,120953.0,75644157.47,2.04,6.33,6.2,6.32,6.38,1.31,1.14,-177.78,5.0,8756518688.0,6607025381.0,0.0,0.16,-12.95,-35.57
4990,301017,漱玉平民,12.46,-2.04,-0.26,18106.0,22645134.0,2.52,12.72,12.4,12.6,12.72,0.55,0.7,121.98,2.5,5053864778.0,3223340946.0,-0.16,0.0,-12.13,-15.3
4991,603290,斯达半导,85.0,-2.04,-1.77,32152.0,276350919.0,3.9,87.78,84.4,87.57,86.77,1.12,1.34,191.12,2.97,20355244610.0,20355244610.0,-0.23,0.18,-21.43,-11.07
4992,688389,普门科技,10.52,-2.05,-0.22,9097.0,9654473.0,2.42,10.76,10.5,10.74,10.74,1.23,0.21,34.69,2.22,4507669880.0,4507669880.0,-0.09,0.0,-15.16,-17.17
4994,301516,中远通,16.76,-2.05,-0.35,27870.0,47150254.0,2.81,17.2,16.72,16.81,17.11,0.7,3.97,-143.67,3.71,4704561414.0,1176140358.0,-0.42,0.06,-11.23,7.37
4995,300009,安科生物,8.09,-2.06,-0.17,109221.0,89209220.0,2.3,8.28,8.09,8.2,8.26,1.28,0.89,20.16,3.12,13515968728.0,9952700107.0,0.0,-0.25,-6.47,-13.2
4996,688125,安达智能,107.06,-2.06,-2.25,6281.0,69072375.0,5.84,112.88,106.5,108.66,109.31,1.19,0.76,-70.56,4.9,8824469319.0,8800711635.0,-0.3,-0.34,-49.5,-20.73
4997,688047,龙芯中科,111.68,-2.06,-2.35,22081.0,249373594.0,2.99,114.61,111.2,114.32,114.03,1.04,0.55,-98.24,18.67,44783680000.0,44783680000.0,0.03,0.27,-27.41,-15.46
4998,603000,人民网,15.53,-2.08,-0.33,72223.0,112658643.0,2.46,15.86,15.47,15.8,15.86,1.4,0.65,-129.07,4.64,17171382100.0,17171382100.0,0.06,0.32,-19.78,-17.92
4999,688759,必贝特-U,35.3,-2.08,-0.75,28251.0,101101701.0,3.74,36.45,35.1,36.45,36.05,1.57,5.29,-75.31,9.77,15886293992.0,1883937879.0,0.34,0.34,0.09,21.47
5000,300039,上海凯宝,5.64,-2.08,-0.12,448109.0,250883097.55,7.47,5.87,5.44,5.57,5.76,1.88,4.89,22.74,1.29,5899440000.0,5171463915.0,0.53,0.36,-0.88,-4.89
5001,600754,锦江酒店,18.34,-2.08,-0.39,71185.0,130244213.0,2.56,18.6,18.12,18.52,18.73,1.5,0.79,35.72,1.26,19555913463.0,16616848115.0,0.05,0.05,-27.8,-25.93
5002,002156,通富微电,73.34,-2.08,-1.56,1010582.0,7562512198.55,5.71,76.78,72.5,75.99,74.9,1.68,6.66,84.56,7.16,111300557526.0,111289945961.0,-0.49,0.03,51.72,94.95
5003,002223,鱼跃医疗,27.29,-2.08,-0.58,58338.0,159590349.0,2.4,27.8,27.13,27.57,27.87,1.22,0.62,15.97,2.1,27357595392.0,25715184676.0,0.04,-0.11,-12.48,-27.44
5004,603336,宏辉果蔬,7.97,-2.09,-0.17,58859.0,47159645.0,2.83,8.17,7.94,8.03,8.14,0.7,0.97,403.1,3.38,4851489992.0,4851489992.0,-0.13,0.0,-29.28,-6.78
5005,002439,启明星辰,14.03,-2.09,-0.3,259214.0,364831266.61,2.51,14.26,13.9,14.0,14.33,2.19,3.56,87.23,1.56,16995944876.0,10222246790.0,-0.07,-0.14,-6.09,-0.64
5006,002315,焦点科技,24.19,-2.1,-0.52,39629.0,96061633.0,2.1,24.57,24.05,24.52,24.71,1.04,1.51,25.47,3.76,9976116356.0,6359871929.0,-0.04,-0.04,-22.84,-30.21
5008,601595,上海电影,16.34,-2.1,-0.35,33178.0,54224661.0,2.94,16.64,16.15,16.62,16.69,0.84,0.74,140.78,4.33,7323588000.0,7323588000.0,0.0,0.06,-33.33,-42.93
5009,300046,台基股份,22.7,-2.11,-0.49,27975.0,64185569.18,3.15,23.35,22.62,23.03,23.19,1.41,1.18,98.35,4.82,5369262122.0,5369262122.0,-0.35,0.31,-27.82,-34.3
5010,301348,蓝箭电子,18.09,-2.11,-0.39,48114.0,88035353.0,3.35,18.63,18.01,18.47,18.48,1.11,3.1,-135.08,2.95,4341600000.0,2806467567.0,-0.39,0.22,-24.09,-10.4
5011,603019,中科曙光,99.98,-2.12,-2.17,460912.0,4688944200.0,4.79,104.14,99.25,103.6,102.15,1.64,3.15,160.51,6.65,146282316084.0,146276173313.0,-0.18,0.19,8.23,17.36
5012,600536,中国软件,34.16,-2.12,-0.74,170050.0,583527810.0,2.21,34.77,34.0,34.2,34.9,1.28,2.02,-108.18,9.07,31898149709.0,28819285373.0,-0.18,0.0,-8.1,-26.22
5013,301308,江波龙,380.23,-2.12,-8.22,84827.0,3295629754.11,5.05,397.8,378.2,394.01,388.45,1.41,3.01,10.41,13.51,160860486692.0,107168544895.0,-0.64,-0.16,2.16,55.93
5014,301678,新恒汇,42.28,-2.13,-0.92,13826.0,59110956.2,3.17,43.43,42.06,43.0,43.2,0.91,0.99,255.95,5.62,10128405145.0,5875692485.0,-0.47,0.21,-27.73,-33.65
5015,300909,汇创达,40.86,-2.13,-0.89,8697.0,36235138.0,4.26,42.48,40.7,41.8,41.75,0.57,0.67,168.01,3.55,7067675922.0,5276630654.0,-0.29,0.07,-6.86,-15.05
5016,603733,仙鹤股份,20.53,-2.14,-0.45,67848.0,139637989.0,3.38,20.98,20.27,20.98,20.98,1.24,0.87,15.89,1.57,15949733883.0,15949733883.0,0.0,0.0,-3.93,-12.53
5017,300413,芒果超媒,15.1,-2.14,-0.33,83963.0,126611534.59,2.33,15.31,14.95,15.3,15.43,1.24,0.82,35.42,1.22,28247884307.0,15427669366.0,-0.07,0.07,-25.83,-37.5
