ticker,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
600993,2547829.0,4.19,0.0,0.0,2547829.0,4.19,2853267.0,4.69,-5401096.0,-8.89
603939,2543323.0,4.44,3686218.0,6.43,-1142895.0,-1.99,-3631950.0,-6.34,1084302.0,1.89
603505,2536488.0,2.58,2752841.0,2.8,-216353.0,-0.22,2962694.0,3.01,-5499181.0,-5.59
601238,2525868.0,4.82,3301330.0,6.3,-775462.0,-1.48,-4781773.0,-9.12,2254351.0,4.3
002790,2524995.0,17.73,1071768.0,7.52,1453227.0,10.2,-634354.0,-4.45,-1890642.0,-13.27
002134,2524754.0,1.92,-6170688.0,-4.69,8695442.0,6.61,4008239.0,3.05,-6532994.0,-4.97
603859,2513154.0,2.26,3904803.0,3.5,-1391649.0,-1.25,7519531.0,6.75,-10032683.0,-9.0
603298,2506671.0,4.32,1085051.0,1.87,1421620.0,2.45,-1477955.0,-2.55,-1028716.0,-1.77
002700,2501275.0,10.75,1115100.0,4.79,1386175.0,5.96,-905668.0,-3.89,-1595607.0,-6.86
002566,2498601.0,6.5,0.0,0.0,2498601.0,6.5,89470.0,0.23,-2588071.0,-6.73
300559,2495484.0,8.45,-2452977.0,-8.3,4948461.0,16.75,-1154247.0,-3.91,-1341237.0,-4.54
300540,2491961.0,1.63,-3224747.0,-2.11,5716708.0,3.73,7180361.0,4.69,-9672323.0,-6.32
600735,2488681.0,16.83,501276.0,3.39,1987405.0,13.44,-983110.0,-6.65,-1505571.0,-10.18
300483,2484833.0,0.9,2191667.0,0.79,293166.0,0.11,1694280.0,0.61,-4179112.0,-1.52
301413,2483609.0,2.07,8112359.0,6.77,-5628750.0,-4.7,3940132.0,3.29,-6423741.0,-5.36
301117,2478294.0,2.97,2319677.0,2.78,158617.0,0.19,-976821.0,-1.17,-1501473.0,-1.8
001266,2470693.0,6.36,12157.0,0.03,2458536.0,6.33,-258468.0,-0.67,-2212225.0,-5.7
000407,2465615.0,6.75,1024100.0,2.8,1441515.0,3.95,-2641850.0,-7.23,176235.0,0.48
300416,2465432.0,2.56,717612.0,0.75,1747820.0,1.82,2498921.0,2.6,-4964353.0,-5.16
000506,2462613.0,0.27,1579390.0,0.17,883223.0,0.1,-15274048.0,-1.69,12811440.0,1.42
603065,2446423.0,1.02,582282.0,0.24,1864141.0,0.77,-12968912.0,-5.39,10522489.0,4.37
002861,2442459.0,4.36,-1287814.0,-2.3,3730273.0,6.67,-2532710.0,-4.53,90251.0,0.16
601002,2440041.0,8.03,1398000.0,4.6,1042041.0,3.43,-2275710.0,-7.49,-164331.0,-0.54
600022,2433916.0,5.73,5160839.0,12.15,-2726923.0,-6.42,-3196977.0,-7.53,763061.0,1.8
600280,2416323.0,4.18,-348857.0,-0.6,2765180.0,4.78,-159391.0,-0.28,-2314110.0,-4.0
002158,2395966.0,1.79,-5520679.0,-4.13,7916645.0,5.93,-1292068.0,-0.97,-1103898.0,-0.83
601966,2393470.0,5.71,1016947.0,2.43,1376523.0,3.29,-4327824.0,-10.33,1934354.0,4.62
688683,2391333.0,8.08,0.0,0.0,2391333.0,8.08,3133673.0,10.58,-5525006.0,-18.66
301555,2388883.0,8.92,0.0,0.0,2388883.0,8.92,-1596619.0,-5.96,-792263.0,-2.96
688450,2386188.0,6.28,0.0,0.0,2386188.0,6.28,-398741.0,-1.05,-1987448.0,-5.23
300629,2381026.0,7.41,126266.0,0.39,2254760.0,7.02,-1917212.0,-5.97,-463813.0,-1.44
300872,2371853.0,4.09,0.0,0.0,2371853.0,4.09,-3587805.0,-6.19,1215952.0,2.1
002124,2357385.0,6.26,1524312.0,4.05,833073.0,2.21,-3260725.0,-8.66,903340.0,2.4
300252,2356207.0,2.24,1462930.0,1.39,893277.0,0.85,-1507114.0,-1.43,-849092.0,-0.81
300393,2351558.0,5.5,0.0,0.0,2351558.0,5.5,-3733239.0,-8.73,1381682.0,3.23
002752,2337935.0,10.71,0.0,0.0,2337935.0,10.71,-2253694.0,-10.33,-84241.0,-0.39
301272,2337020.0,22.97,2001670.0,19.67,335350.0,3.3,-1564357.0,-15.37,-772663.0,-7.59
300587,2334073.0,4.74,-1044000.0,-2.12,3378073.0,6.87,-447501.0,-0.91,-1886572.0,-3.83
301101,2332356.0,7.16,1497068.0,4.59,835288.0,2.56,-3857060.0,-11.84,1524704.0,4.68
688480,2331262.0,5.62,-2136923.0,-5.15,4468185.0,10.77,-1544786.0,-3.72,-786477.0,-1.9
603301,2328220.0,6.79,0.0,0.0,2328220.0,6.79,-1861892.0,-5.43,-466328.0,-1.36
600339,2315518.0,1.45,2953256.0,1.85,-637738.0,-0.4,2800842.0,1.76,-5119828.0,-3.22
000631,2307377.0,8.55,406606.0,1.51,1900771.0,7.04,-526391.0,-1.95,-1780986.0,-6.6
002214,2306458.0,14.58,1380653.0,8.73,925805.0,5.85,-1086338.0,-6.87,-1220120.0,-7.71
002168,2306159.0,48.59,651754.0,13.73,1654405.0,34.86,-1455859.0,-30.68,-850300.0,-17.92
301251,2291237.0,3.06,3483551.0,4.65,-1192314.0,-1.59,2337420.0,3.12,-4628656.0,-6.17
002431,2289407.0,24.48,1270000.0,13.58,1019407.0,10.9,-1519604.0,-16.25,-769803.0,-8.23
000404,2288227.0,9.53,0.0,0.0,2288227.0,9.53,-861074.0,-3.59,-1427153.0,-5.94
301339,2286818.0,12.3,1039123.0,5.59,1247695.0,6.71,-911770.0,-4.9,-1375047.0,-7.39
300125,2283201.0,14.63,1146229.0,7.35,1136972.0,7.29,-417362.0,-2.67,-1865839.0,-11.96
601100,2280294.0,1.75,4331429.0,3.33,-2051135.0,-1.58,-3740403.0,-2.88,1439099.0,1.11
002725,2274879.0,6.13,1463730.0,3.94,811149.0,2.18,-4319973.0,-11.63,2045094.0,5.51
000935,2269011.0,2.64,-5200195.0,-6.06,7469206.0,8.7,1303157.0,1.52,-3572169.0,-4.16
301326,2261755.0,3.02,1931426.0,2.58,330329.0,0.44,-4451266.0,-5.94,2189511.0,2.92
002327,2260215.0,15.18,0.0,0.0,2260215.0,15.18,1495146.0,10.04,-3755361.0,-25.22
000609,2253530.0,3.2,2880212.0,4.09,-626682.0,-0.89,-1253380.0,-1.78,-1000150.0,-1.42
300020,2249779.0,8.62,0.0,0.0,2249779.0,8.62,715481.0,2.74,-2965260.0,-11.36
688345,2246470.0,8.82,0.0,0.0,2246470.0,8.82,-735800.0,-2.89,-1510670.0,-5.93
600500,2243407.0,1.6,2178567.0,1.56,64840.0,0.05,-8999078.0,-6.44,6755672.0,4.83
300662,2237183.0,3.15,0.0,0.0,2237183.0,3.15,-1020401.0,-1.44,-1216782.0,-1.72
002122,2233017.0,20.45,2274773.0,20.84,-41756.0,-0.38,-850130.0,-7.79,-1382887.0,-12.67
600513,2229361.0,1.24,166919.0,0.09,2062442.0,1.15,2215695.0,1.24,-4445056.0,-2.48
300161,2227574.0,14.6,54349.0,0.36,2173225.0,14.25,-791969.0,-5.19,-1435606.0,-9.41
600775,2223670.0,5.14,0.0,0.0,2223670.0,5.14,-841319.0,-1.95,-1382351.0,-3.2
300931,2216372.0,8.52,2537885.0,9.75,-321513.0,-1.24,-1039690.0,-3.99,-1176682.0,-4.52
300185,2212826.0,3.2,0.0,0.0,2212826.0,3.2,-1879940.0,-2.72,-332886.0,-0.48
002011,2211365.0,5.03,1624523.0,3.7,586842.0,1.34,-5877685.0,-13.38,3666320.0,8.35
002305,2202810.0,15.19,0.0,0.0,2202810.0,15.19,-1558369.0,-10.74,-644441.0,-4.44
002653,2201440.0,0.56,-2959381.0,-0.76,5160821.0,1.32,1371027.0,0.35,-3572468.0,-0.92
300745,2193931.0,2.28,-3695201.0,-3.84,5889132.0,6.13,206.0,0.0,-2194137.0,-2.28
603402,2192200.0,6.3,1222953.0,3.51,969247.0,2.79,-831960.0,-2.39,-1360241.0,-3.91
301063,2179553.0,14.15,0.0,0.0,2179553.0,14.15,-1811894.0,-11.76,-367659.0,-2.39
600592,2177498.0,5.77,564382.0,1.5,1613116.0,4.27,-2952689.0,-7.82,775191.0,2.05
600284,2177089.0,7.38,0.0,0.0,2177089.0,7.38,-2235287.0,-7.58,58198.0,0.2
002020,2176376.0,1.8,2308485.0,1.9,-132109.0,-0.11,-4202483.0,-3.47,2026108.0,1.67
688708,2174167.0,19.36,0.0,0.0,2174167.0,19.36,-1553427.0,-13.83,-620740.0,-5.53
688108,2172343.0,3.68,-1210550.0,-2.05,3382893.0,5.74,-727383.0,-1.23,-1444960.0,-2.45
300243,2171758.0,3.57,-509176.0,-0.84,2680934.0,4.4,-79938.0,-0.13,-2091820.0,-3.43
603175,2165898.0,2.4,-1025005.0,-1.14,3190903.0,3.54,-1433199.0,-1.59,-732699.0,-0.81
603193,2158804.0,11.83,0.0,0.0,2158804.0,11.83,-2487245.0,-13.63,328441.0,1.8
002782,2146048.0,2.93,3883392.0,5.3,-1737344.0,-2.37,-1845165.0,-2.52,-300883.0,-0.41
002177,2143048.0,3.44,2967448.0,4.77,-824400.0,-1.32,-812370.0,-1.3,-1330678.0,-2.14
300400,2135553.0,1.93,1167945.0,1.05,967608.0,0.87,-2081008.0,-1.88,-54545.0,-0.05
002293,2130452.0,3.65,791790.0,1.36,1338662.0,2.29,5578443.0,9.55,-7708895.0,-13.19
002488,2130363.0,2.48,2564964.0,2.98,-434601.0,-0.51,-12766327.0,-14.84,10635964.0,12.36
301529,2125473.0,2.32,1969393.0,2.15,156080.0,0.17,2507733.0,2.74,-4633206.0,-5.07
688337,2121812.0,2.99,-4636077.0,-6.54,6757889.0,9.54,3323582.0,4.69,-5445394.0,-7.69
603220,2117061.0,0.79,-3468525.0,-1.3,5585586.0,2.09,6163089.0,2.31,-8276399.0,-3.1
600778,2115041.0,12.16,0.0,0.0,2115041.0,12.16,-1660574.0,-9.55,-454467.0,-2.61
301205,2113917.0,0.18,8867229.0,0.75,-6753312.0,-0.57,-4161152.0,-0.35,2047242.0,0.17
300430,2112619.0,12.64,0.0,0.0,2112619.0,12.64,-329103.0,-1.97,-1783516.0,-10.67
601369,2108397.0,2.3,3982900.0,4.35,-1874503.0,-2.05,1380990.0,1.51,-3489386.0,-3.81
003009,2107820.0,1.89,1551778.0,1.39,556042.0,0.5,-3390447.0,-3.04,1282627.0,1.15
002299,2106359.0,2.69,2201335.0,2.81,-94976.0,-0.12,-5131824.0,-6.54,3025466.0,3.86
605318,2101673.0,3.12,3544124.0,5.26,-1442451.0,-2.14,969133.0,1.44,-3070806.0,-4.56
603822,2100442.0,6.49,-1338116.0,-4.14,3438558.0,10.63,456234.0,1.41,-2556676.0,-7.9
001696,2098036.0,1.41,142866.0,0.1,1955170.0,1.31,2406963.0,1.61,-4504998.0,-3.02
601908,2097739.0,2.75,5660078.0,7.43,-3562339.0,-4.68,1656421.0,2.17,-3754160.0,-4.93
301335,2084129.0,9.01,181686.0,0.79,1902443.0,8.23,-610025.0,-2.64,-1474104.0,-6.38
600258,2083594.0,3.01,1149454.0,1.66,934140.0,1.35,-3402394.0,-4.91,1318800.0,1.9
688212,2080399.0,8.04,1120997.0,4.33,959402.0,3.71,-586267.0,-2.27,-1494133.0,-5.78
603912,2080373.0,2.89,3754175.0,5.21,-1673802.0,-2.32,9645.0,0.01,-2090017.0,-2.9
300050,2071354.0,7.73,1062600.0,3.97,1008754.0,3.77,-1724736.0,-6.44,-346618.0,-1.29
002508,2070128.0,3.43,0.0,0.0,2070128.0,3.43,2659756.0,4.41,-4729884.0,-7.84
600388,2064935.0,3.13,-1058190.0,-1.6,3123125.0,4.73,-4413230.0,-6.69,2348295.0,3.56
603132,2064251.0,3.05,154384.0,0.23,1909867.0,2.82,-1384456.0,-2.04,-679795.0,-1.0
301587,2061895.0,1.63,2498517.0,1.97,-436622.0,-0.34,2028964.0,1.6,-4090860.0,-3.23
300616,2053939.0,11.46,0.0,0.0,2053939.0,11.46,-1760666.0,-9.83,-293273.0,-1.64
003026,2053066.0,1.52,215180.0,0.16,1837886.0,1.36,-8066753.0,-5.97,6013687.0,4.45
300187,2052402.0,10.98,0.0,0.0,2052402.0,10.98,-2880577.0,-15.41,828175.0,4.43
002081,2051625.0,1.22,7353089.0,4.38,-5301464.0,-3.16,4729185.0,2.82,-6780811.0,-4.04
601098,2028475.0,5.01,0.0,0.0,2028475.0,5.01,-1011529.0,-2.5,-1016945.0,-2.51
603958,2021231.0,4.96,4651384.0,11.42,-2630153.0,-6.46,-4484094.0,-11.01,2462863.0,6.05
603330,2014026.0,6.1,504861.0,1.53,1509165.0,4.57,2781199.0,8.43,-4795225.0,-14.53
600303,2004897.0,7.09,0.0,0.0,2004897.0,7.09,-1604565.0,-5.67,-400332.0,-1.42
300472,1999990.0,16.14,0.0,0.0,1999990.0,16.14,-326961.0,-2.64,-1673029.0,-13.5
002712,1998366.0,9.42,0.0,0.0,1998366.0,9.42,-159329.0,-0.75,-1839037.0,-8.67
002189,1992688.0,11.98,437987.0,2.63,1554701.0,9.35,-1018968.0,-6.13,-973720.0,-5.85
000561,1989796.0,8.49,0.0,0.0,1989796.0,8.49,208284.0,0.89,-2198080.0,-9.38
300350,1988052.0,8.35,1140000.0,4.79,848052.0,3.56,-777231.0,-3.26,-1210821.0,-5.08
002913,1982737.0,1.52,-4765306.0,-3.65,6748043.0,5.17,2896248.0,2.22,-4878985.0,-3.74
600169,1979805.0,22.28,410454.0,4.62,1569351.0,17.66,-1272981.0,-14.32,-706824.0,-7.95
603610,1978667.0,4.78,-1181264.0,-2.85,3159931.0,7.64,827024.0,2.0,-2806970.0,-6.78
600671,1978191.0,2.57,1235813.0,1.61,742378.0,0.97,2518316.0,3.27,-4598207.0,-5.98
300911,1971282.0,2.86,718348.0,1.04,1252934.0,1.82,-706127.0,-1.03,-1265155.0,-1.84
600630,1961366.0,6.11,0.0,0.0,1961366.0,6.11,-3905811.0,-12.16,1944445.0,6.05
002717,1960485.0,10.54,1887717.0,10.14,72768.0,0.39,-2203699.0,-11.84,243214.0,1.31
002666,1948915.0,10.44,0.0,0.0,1948915.0,10.44,-2590223.0,-13.88,641308.0,3.44
600926,1948094.0,1.32,-1564001.0,-1.06,3512095.0,2.38,2092159.0,1.42,-4040252.0,-2.74
600983,1945243.0,33.41,12444.0,0.21,1932799.0,33.2,-1065334.0,-18.3,-879909.0,-15.11
603375,1940343.0,8.03,0.0,0.0,1940343.0,8.03,-1644932.0,-6.8,-295411.0,-1.22
002370,1926098.0,4.36,4407385.0,9.99,-2481287.0,-5.62,-2406052.0,-5.45,479954.0,1.09
603049,1919392.0,6.22,0.0,0.0,1919392.0,6.22,909768.0,2.95,-2824349.0,-9.15
603324,1919120.0,3.06,1329641.0,2.12,589479.0,0.94,-3280732.0,-5.22,1361612.0,2.17
001283,1916808.0,6.06,2572155.0,8.13,-655347.0,-2.07,-2141421.0,-6.77,224613.0,0.71
300079,1916471.0,5.61,3789000.0,11.09,-1872529.0,-5.48,-576792.0,-1.69,-1339678.0,-3.92
300163,1912384.0,1.74,-3728206.0,-3.39,5640590.0,5.12,-1436.0,0.0,-1910948.0,-1.74
301115,1912374.0,1.97,-3266569.0,-3.37,5178943.0,5.34,-887653.0,-0.92,-1024721.0,-1.06
300292,1909500.0,2.57,-317873.0,-0.43,2227373.0,2.99,977602.0,1.31,-2887102.0,-3.88
002172,1906333.0,6.19,0.0,0.0,1906333.0,6.19,244726.0,0.8,-2151059.0,-6.99
600425,1905141.0,8.61,0.0,0.0,1905141.0,8.61,-1309785.0,-5.92,-595356.0,-2.69
601825,1902701.0,4.17,0.0,0.0,1902701.0,4.17,1453642.0,3.19,-3361263.0,-7.37
002404,1901599.0,9.3,0.0,0.0,1901599.0,9.3,-2645406.0,-12.94,743806.0,3.64
600517,1894794.0,2.6,7122249.0,9.77,-5227455.0,-7.17,-4663515.0,-6.39,2768721.0,3.8
000031,1894508.0,6.49,0.0,0.0,1894508.0,6.49,-4118264.0,-14.12,2223756.0,7.62
601992,1893121.0,8.39,1851295.0,8.2,41826.0,0.19,-2870446.0,-12.72,977325.0,4.33
