序号,ticker,name,close,pct_change,change,volume,amount,amplitude,high,low,open,prev_close,volume_ratio,turnover,pe,pb,total_mcap,float_mcap,speed_5min,pct_5min,pct_60d,pct_ytd,main_net_inflow,main_net_pct,super_large_net_inflow,super_large_net_pct,large_net_inflow,large_net_pct,medium_net_inflow,medium_net_pct,small_net_inflow,small_net_pct
560,001376,百通能源,10.22,2.92,0.29,68080.0,68491359.0,4.63,10.27,9.81,9.93,9.93,1.93,3.18,27.65,3.82,4710398000.0,2187504774.0,0.2,0.2,-33.68,-38.95,3050193.0,4.45,181610.0,0.27,2868583.0,4.19,600217.0,0.88,-3650410.0,-5.33
561,603937,丽岛新材,9.52,2.92,0.27,30088.0,28501930.0,4.0,9.62,9.25,9.25,9.25,1.58,1.44,19.2,1.29,1988651754.0,1988651754.0,0.21,0.32,-31.26,-20.6,-206619.0,-0.72,0.0,0.0,-206619.0,-0.72,-1992698.0,-6.96,2199317.0,7.69
562,600973,宝胜股份,5.66,2.91,0.16,107316.0,60283987.0,3.82,5.69,5.48,5.48,5.5,2.15,0.78,39.08,2.29,7761932964.0,7761932964.0,0.18,0.0,-23.41,-22.47,9274090.0,15.24,1220370.0,2.01,8053720.0,13.24,-2685120.0,-4.41,-6588971.0,-10.83
563,301291,明阳电气,38.16,2.91,1.08,51032.0,192770084.05,5.72,38.65,36.53,36.86,37.08,2.12,3.12,121.95,2.44,12002857008.0,6244766963.0,0.16,-0.21,-31.29,-7.29,23751030.0,12.25,11242955.0,5.8,12508075.0,6.45,-9418206.0,-4.86,-14332825.0,-7.39
564,300093,金刚光伏,20.89,2.91,0.59,90524.0,194843634.0,6.11,22.06,20.82,21.5,20.3,2.82,3.92,-44.29,5.8,11280600000.0,4825125302.0,-0.1,-0.71,-8.3,25.09,4440926.0,2.27,3852636.0,1.97,588290.0,0.3,286851.0,0.15,-4727777.0,-2.42
565,002506,协鑫集成,2.48,2.9,0.07,1431494.0,352632458.95,4.15,2.5,2.4,2.41,2.41,2.13,2.45,-19.41,15.41,14508784739.0,14494204757.0,0.4,0.4,-43.12,-11.43,23556281.0,6.68,9621815.0,2.73,13934466.0,3.95,-12162233.0,-3.45,-11394047.0,-3.23
566,301003,江苏博云,45.02,2.9,1.27,9839.0,44385122.0,5.74,45.81,43.3,44.87,43.75,1.1,1.31,61.26,3.91,4372942201.0,3382818737.0,-0.16,0.18,-37.47,1.63,844763.0,1.9,328522.0,0.74,516241.0,1.16,688393.0,1.55,-1533156.0,-3.44
567,601026,道生天合,14.9,2.9,0.42,40368.0,59637300.0,4.56,14.99,14.33,14.61,14.48,1.9,3.63,79.45,3.95,9825060000.0,1655176781.0,-0.13,0.07,-19.98,-24.67,7242532.0,12.08,0.0,0.0,7242532.0,12.08,-864768.0,-1.44,-6377763.0,-10.64
568,601399,国机重装,3.19,2.9,0.09,458918.0,144396523.0,2.9,3.19,3.1,3.1,3.1,2.06,0.64,45.3,1.55,23011243289.0,23011243289.0,0.31,0.95,-23.68,-33.26,31438557.0,21.66,14619808.0,10.07,16818749.0,11.59,-13240012.0,-9.12,-18202053.0,-12.54
569,002578,闽发铝业,2.85,2.89,0.08,136255.0,38432694.0,4.69,2.87,2.74,2.75,2.77,1.83,1.58,63.48,1.77,2675096022.0,2454313299.0,0.0,0.0,-25.97,-36.53,1430405.0,3.72,707285.0,1.84,723120.0,1.88,544758.0,1.42,-1975163.0,-5.14
570,300004,南风股份,7.48,2.89,0.21,97397.0,72953486.0,5.78,7.63,7.21,7.25,7.27,1.74,2.03,-172.12,2.03,3590352113.0,3590352113.0,-0.13,0.13,-43.46,-38.94,-3063782.0,-4.17,-2019490.0,-2.75,-1044292.0,-1.42,-1499010.0,-2.04,4562792.0,6.22
571,002326,永太科技,16.71,2.89,0.47,173394.0,288907676.0,4.56,17.0,16.26,16.28,16.24,1.63,2.14,36.92,5.56,15458882798.0,13510754499.0,0.12,0.0,-36.27,-32.95,20254613.0,7.01,14379336.0,4.98,5875277.0,2.03,2852216.0,0.99,-23106829.0,-8.0
572,600232,金鹰股份,5.34,2.89,0.15,34807.0,18481641.0,3.85,5.39,5.19,5.25,5.19,1.55,0.95,41.88,2.03,1947597025.0,1947597025.0,0.19,0.56,-36.2,-32.49,896158.0,4.84,0.0,0.0,896158.0,4.84,-2756891.0,-14.9,1860733.0,10.06
573,300827,上能电气,24.68,2.88,0.69,98894.0,242274003.46,4.42,24.87,23.81,23.99,23.99,2.54,2.27,35.12,3.24,13739148170.0,10773813987.0,0.04,-0.4,-33.13,-27.62,14766937.0,6.08,-398237.0,-0.16,15165174.0,6.24,-10762878.0,-4.43,-4004058.0,-1.65
574,300927,江天化学,20.39,2.88,0.57,19559.0,39169302.0,4.89,20.47,19.5,19.72,19.82,1.26,1.39,57.1,3.02,2943500400.0,2871915127.0,0.64,0.79,-34.67,-12.26,-687556.0,-1.74,0.0,0.0,-687556.0,-1.74,-844794.0,-2.14,1532351.0,3.88
576,000547,航天发展,14.35,2.87,0.4,593469.0,847557959.94,6.45,14.58,13.68,13.82,13.95,2.47,3.73,-52.06,6.08,22938019660.0,22803887240.0,0.0,-0.21,-45.44,-56.53,101246476.0,11.94,93743816.0,11.06,7502660.0,0.89,-45845104.0,-5.41,-55401374.0,-6.54
