date,open,high,low,close,volume,amount,postVol,postAmt
2026-02-11,2.0,2.01,1.98,1.989,47399900,94456205,,
2026-02-12,1.987,2.012,1.975,1.998,52059600,103765662,,
2026-02-13,1.982,2.05,1.982,2.017,82778900,168092651,,
2026-02-24,2.034,2.044,1.977,2.032,69585100,140260860,,
2026-02-25,2.039,2.142,2.008,2.125,109761122,229456848,,
2026-02-26,2.115,2.165,2.076,2.145,150528422,319743085,,
2026-02-27,2.1,2.111,2.079,2.099,109607600,229262158,,
2026-03-02,2.061,2.11,2.047,2.062,122329600,253530162,,
2026-03-03,2.061,2.087,1.942,1.952,111146866,222806466,,
2026-03-04,1.918,1.98,1.913,1.94,97828000,190248115,,
2026-03-05,1.979,2.015,1.951,1.972,85163000,169097643,,
2026-03-06,1.95,1.985,1.945,1.951,47866575,93999509,,
2026-03-09,1.9,1.903,1.836,1.897,101840100,190123191,,
2026-03-10,1.927,1.952,1.912,1.941,85069799,164828676,,
2026-03-11,1.942,1.95,1.904,1.919,53594800,102880302,,
2026-03-12,1.914,1.93,1.866,1.886,59220300,112453940,,
2026-03-13,1.864,1.905,1.856,1.87,63635600,119416644,,
2026-03-16,1.867,1.897,1.821,1.897,87631700,161919614,,
2026-03-17,1.906,1.906,1.837,1.839,67446300,126526107,,
2026-03-18,1.845,1.885,1.844,1.88,62998900,117678442,,
2026-03-19,1.842,1.863,1.828,1.839,62539300,115286210,,
2026-03-20,1.848,1.877,1.824,1.826,56097700,103957220,,
2026-03-23,1.785,1.816,1.728,1.745,78139086,138398575,,
2026-03-24,1.78,1.78,1.729,1.772,91165609,159946833,,
2026-03-25,1.789,1.85,1.789,1.824,64679309,118412258,,
2026-03-26,1.811,1.818,1.778,1.787,48651700,87502423,,
2026-03-27,1.74,1.839,1.74,1.827,48822100,87992172,,
2026-03-30,1.786,1.883,1.786,1.877,70287700,129627283,,
2026-03-31,1.855,1.866,1.8,1.806,65956298,121185096,,
2026-04-01,1.851,1.862,1.822,1.838,100516769,184895313,,
2026-04-02,1.83,1.83,1.753,1.774,65485700,116907190,,
2026-04-03,1.775,1.792,1.762,1.77,51742900,92099640,,
2026-04-07,1.781,1.796,1.768,1.778,41120000,73262383,,
2026-04-08,1.845,1.915,1.825,1.914,103773030,194308481,,
2026-04-09,1.892,1.955,1.882,1.929,76367836,147070139,,
2026-04-10,1.949,1.984,1.945,1.947,149759800,294213752,,
2026-04-13,1.918,1.954,1.918,1.93,79572100,153732984,,
2026-04-14,1.95,2.007,1.942,1.987,87509900,173253031,,
2026-04-15,2.009,2.01,1.944,1.953,68487864,135615123,,
2026-04-16,1.96,1.98,1.94,1.978,56552336,111073827,,
2026-04-17,1.97,1.995,1.945,1.98,55775400,110147345,,
2026-04-20,1.967,2.01,1.942,2.001,65077700,128983011,,
2026-04-21,1.99,1.994,1.952,1.973,52004200,102309553,,
2026-04-22,1.969,2.036,1.964,2.035,75320700,151378480,,
2026-04-23,2.043,2.048,1.987,2.011,67905791,137173347,,
2026-04-24,2.009,2.047,1.999,2.028,63892200,129294905,,
2026-04-27,2.05,2.178,2.04,2.153,109451900,231872957,,
2026-04-28,2.13,2.207,2.106,2.148,110905200,239200136,,
2026-04-29,2.125,2.162,2.077,2.145,100856400,214085745,,
2026-04-30,2.148,2.236,2.128,2.215,118538700,259481340,,
2026-05-06,2.285,2.369,2.26,2.26,130422800,299973642,,
2026-05-07,2.284,2.318,2.242,2.315,84788900,193975830,,
2026-05-08,2.274,2.316,2.245,2.269,79751100,181258174,,
2026-05-11,2.323,2.451,2.305,2.426,112336300,268824688,,
2026-05-12,2.427,2.497,2.378,2.478,109369200,267930463,,
2026-05-13,2.414,2.584,2.414,2.579,110120500,274283910,,
2026-05-14,2.586,2.608,2.507,2.522,84297042,215416152,,
2026-05-15,2.53,2.765,2.452,2.637,154596263,402426911,,
2026-05-18,2.653,2.742,2.62,2.664,111794200,299283973,,
2026-05-19,2.611,2.804,2.594,2.804,164827578,442661799,,
2026-05-20,2.802,2.971,2.798,2.961,232364236,668035988,,
2026-05-21,3.02,3.102,2.79,2.807,301280973,892823047,,
2026-05-22,2.796,2.844,2.719,2.831,227968500,634596753,,
2026-05-25,2.797,3.035,2.72,2.986,231775663,665105518,,
2026-05-26,2.986,2.986,2.812,2.897,232226951,668730897,,
2026-05-27,2.903,2.95,2.779,2.792,284394800,819637133,,
